 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,478,138.328,36,198,210.519,143.477,78.590,28.303,21.503,49.595,0.973,137,1.316,0.760,1.006
2,635,73.557,21,128,149.705,217.530,89.937,30.448,26.554,61.099,0.987,72,1.147,0.872,1.003
3,530,76.481,19,180,118.775,255.698,81.879,27.900,24.187,143.298,0.993,72,1.153,0.867,1.004
4,149,168.114,102,236,230.292,224.735,43.179,14.837,12.787,78.731,1.000,177,1.160,0.862,1.003
5,322,176.873,103,217,331.000,172.500,64.240,22.915,17.891,76.474,0.981,182,1.281,0.781,1.000
6,105,141.857,84,187,364.005,106.738,36.973,13.301,10.051,74.324,0.965,143,1.323,0.756,0.995
7,269,184.338,103,217,459.779,157.716,58.856,20.710,16.538,160.029,0.976,195,1.252,0.799,0.996
8,116,102.940,37,161,497.500,154.000,38.207,12.201,12.105,90.000,0.999,107,1.008,0.992,1.000
9,305,206.823,159,227,175.280,302.002,62.500,21.658,17.931,18.283,0.981,210,1.208,0.828,0.995
10,215,124.414,100,162,95.040,335.016,52.313,18.361,14.909,154.773,0.987,122,1.232,0.812,0.982
11,451,166.676,85,202,93.764,411.531,76.300,27.808,20.650,171.868,0.974,174,1.347,0.743,1.001
12,102,166.029,115,204,158.922,429.765,36.964,13.335,9.739,61.480,0.938,168,1.369,0.730,0.986
13,98,149.490,104,224,281.071,295.959,35.808,11.173,11.168,119.745,0.960,141,1.000,1.000,0.942
14,219,121.174,82,159,335.043,352.514,53.433,20.100,13.872,164.057,0.964,121,1.449,0.690,0.995
15,160,135.731,44,199,261.500,460.000,45.668,17.068,11.936,176.855,0.964,141,1.430,0.699,0.994
16,154,130.474,108,168,242.500,507.000,45.340,16.109,12.172,157.378,0.941,128,1.323,0.756,1.000
17,234,174.987,83,221,233.244,519.795,55.089,20.047,14.862,125.480,0.969,188,1.349,0.741,1.002
18,344,110.625,55,153,226.294,576.110,66.883,24.461,17.906,131.723,0.966,112,1.366,0.732,0.991
19,287,126.192,74,171,319.040,557.336,61.079,22.263,16.414,161.268,0.967,126,1.356,0.737,1.002
20,198,162.495,70,212,355.000,509.000,49.510,16.530,15.251,134.989,1.000,173,1.084,0.923,1.015
21,224,118.576,74,163,336.312,506.522,53.050,17.344,16.444,144.214,1.000,119,1.055,0.948,1.002
22,340,122.215,95,163,338.835,492.253,65.548,21.531,20.106,90.959,0.994,121,1.071,0.934,1.003
23,325,176.791,67,214,477.703,611.478,65.477,24.087,17.180,83.742,0.953,189,1.402,0.713,1.002
24,266,164.086,77,209,402.316,512.936,58.906,21.692,15.613,61.219,0.963,171,1.389,0.720,1.004
25,211,166.209,108,213,384.675,413.220,52.991,19.836,13.544,117.673,0.944,173,1.465,0.683,1.007
26,235,171.881,46,212,411.500,382.500,56.780,22.127,13.522,38.781,0.916,186,1.636,0.611,1.000
27,354,155.342,52,208,433.624,385.508,67.199,23.278,19.362,99.138,0.985,158,1.202,0.832,0.992
28,230,119.126,96,157,451.130,366.213,53.612,18.716,15.646,116.045,1.000,116,1.196,0.836,1.011
29,67,157.299,109,210,350.007,205.724,29.064,10.123,8.427,154.210,0.997,156,1.201,0.832,0.978
30,94,132.979,62,178,434.383,668.894,35.642,13.677,8.751,100.090,0.930,136,1.563,0.640,0.989
31,581,67.738,25,113,557.500,629.500,85.600,27.989,26.431,134.954,0.996,71,1.059,0.944,0.993
32,831,58.769,0,172,525.412,521.096,102.242,33.491,31.592,87.756,0.999,58,1.060,0.943,0.999
33,176,96.068,5,172,514.233,531.188,46.935,15.585,14.379,138.780,1.000,97,1.084,0.923,1.014
34,189,174.820,111,209,560.463,457.907,49.381,17.282,13.924,87.323,0.974,184,1.241,0.806,0.992
35,650,166.042,86,197,537.392,372.955,91.837,32.890,25.163,85.701,0.968,179,1.307,0.765,0.991
36,387,186.098,124,218,638.291,315.076,70.787,25.484,19.336,63.864,0.971,190,1.318,0.759,1.008
37,487,76.723,16,129,592.656,274.668,79.157,28.491,21.764,63.729,0.977,79,1.309,0.764,1.003
38,347,74.533,43,123,620.857,227.488,66.996,24.136,18.305,144.844,0.971,69,1.319,0.758,1.001
39,355,72.831,21,142,552.075,156.542,67.619,24.298,18.602,142.510,0.976,69,1.306,0.766,1.003
40,54,132.222,81,215,211.278,296.963,26.239,9.601,7.161,144.128,0.986,122,1.341,0.746,1.000
41,105,165.457,91,228,188.395,273.024,36.965,13.295,10.055,127.567,0.966,168,1.322,0.756,1.005
