 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,666,74.751,29,134,265.000,103.000,91.921,32.047,26.460,79.987,0.990,72,1.211,0.826,1.014
2,103,125.184,40,190,208.684,152.024,37.978,14.425,9.091,82.833,0.897,130,1.587,0.630,1.000
3,351,130.484,30,186,227.469,151.617,69.127,27.011,16.545,168.516,0.923,138,1.633,0.613,1.000
4,228,143.140,45,186,401.553,74.855,55.909,21.467,13.523,147.183,0.917,148,1.587,0.630,1.011
5,95,130.284,78,159,439.079,81.079,36.030,14.364,8.421,2.816,0.920,137,1.706,0.586,1.022
6,189,139.762,78,178,460.500,132.500,48.912,16.393,14.679,45.008,0.993,145,1.117,0.895,1.022
7,322,110.730,47,155,440.807,158.270,64.827,23.375,17.539,37.982,0.963,112,1.333,0.750,0.994
8,233,99.558,25,151,431.500,220.500,54.869,20.038,14.805,110.995,0.973,104,1.354,0.739,1.009
9,326,158.663,39,217,321.000,230.500,64.879,23.512,17.654,149.799,0.973,163,1.332,0.751,1.003
10,370,163.922,57,210,300.973,238.795,69.225,25.128,18.748,126.038,0.970,168,1.340,0.746,1.004
11,322,120.907,61,206,271.981,264.770,64.591,23.299,17.597,131.245,0.970,118,1.324,0.755,1.003
12,122,160.131,82,210,252.230,242.475,40.340,14.242,10.907,119.662,0.942,167,1.306,0.766,0.996
13,173,174.520,107,218,204.737,259.199,47.165,17.185,12.817,3.777,0.977,185,1.341,0.746,0.997
14,213,145.681,45,207,200.500,297.500,52.470,19.092,14.205,38.798,0.972,148,1.344,0.744,0.991
15,120,132.908,89,173,268.767,313.050,39.319,14.375,10.629,108.730,0.975,136,1.352,0.739,1.004
16,239,128.590,45,202,338.366,386.354,55.651,20.180,15.079,124.621,0.970,137,1.338,0.747,0.990
17,123,151.472,97,212,305.337,390.825,39.619,14.367,10.900,116.953,0.985,147,1.318,0.759,1.008
18,114,165.737,104,216,366.509,395.447,38.359,13.942,10.411,118.440,0.974,169,1.339,0.747,0.996
19,177,125.627,44,213,359.234,404.105,47.833,17.310,13.019,119.211,0.972,129,1.330,0.752,1.014
20,251,173.968,91,216,382.376,421.014,56.856,20.583,15.527,118.705,0.976,183,1.326,0.754,0.996
21,427,154.372,94,232,341.863,464.467,74.511,26.724,20.344,116.062,0.966,145,1.314,0.761,1.005
22,74,120.000,45,219,317.162,481.946,31.526,12.347,7.631,77.133,0.936,122,1.618,0.618,1.014
23,269,116.874,48,172,313.764,522.441,59.506,22.507,15.218,121.560,0.955,117,1.479,0.676,0.989
24,256,118.391,60,192,395.000,522.000,57.514,20.172,16.159,16.947,0.973,110,1.248,0.801,0.985
25,536,69.618,21,123,242.310,605.664,82.741,28.866,23.642,51.500,0.984,74,1.221,0.819,1.001
26,157,118.287,75,166,218.971,602.685,44.796,15.623,12.795,139.625,0.983,115,1.221,0.819,1.000
27,110,180.164,125,233,440.182,612.245,37.330,12.909,10.850,132.885,0.992,179,1.190,0.840,1.000
28,138,130.007,64,226,462.986,550.855,42.158,14.818,11.858,116.036,0.976,129,1.250,0.800,1.011
29,253,139.194,59,206,454.097,679.875,56.923,19.747,16.313,137.036,0.981,141,1.211,0.826,0.994
30,118,131.559,57,195,460.085,670.059,39.297,13.561,11.079,138.639,0.960,137,1.224,0.817,0.979
31,310,156.084,54,215,618.681,654.865,63.156,21.748,18.149,50.202,0.977,164,1.198,0.835,0.992
32,227,120.048,51,173,557.610,627.293,53.566,18.839,15.342,90.141,0.994,122,1.228,0.814,1.013
33,80,153.650,92,229,574.450,578.525,31.776,11.394,8.940,108.625,0.996,149,1.274,0.785,0.994
34,95,154.116,82,217,561.447,600.121,35.485,11.943,10.128,28.566,0.948,157,1.179,0.848,0.995
35,332,86.690,26,153,663.464,525.123,65.016,22.728,18.599,47.328,0.987,85,1.222,0.818,0.998
36,421,69.268,12,136,499.300,465.671,73.450,25.646,20.901,39.900,0.981,67,1.227,0.815,0.996
37,223,123.861,56,180,619.989,461.809,53.025,18.600,15.265,62.795,0.997,129,1.218,0.821,1.014
38,90,155.778,97,197,712.811,478.800,33.580,11.845,9.674,95.114,1.000,164,1.224,0.817,0.989
39,98,140.010,81,183,740.255,449.786,35.575,12.343,10.109,148.222,0.973,147,1.221,0.819,0.995
40,271,153.594,70,207,642.179,436.836,58.694,20.408,16.907,96.062,0.989,154,1.207,0.828,1.013
41,127,184.906,121,218,661.248,431.193,40.912,14.999,10.781,84.312,0.953,194,1.391,0.719,0.988
42,290,174.859,75,214,708.376,346.972,61.712,22.820,16.181,112.695,0.957,186,1.410,0.709,0.998
43,237,188.848,112,218,606.327,319.622,55.536,20.455,14.752,141.799,0.966,198,1.387,0.721,0.994
44,625,95.240,16,213,496.970,326.585,90.587,33.234,23.945,122.210,0.957,96,1.388,0.720,0.996
45,244,108.381,38,171,561.000,209.500,58.252,23.078,13.461,96.808,0.904,113,1.714,0.583,1.004
46,148,146.277,92,251,623.520,200.338,44.379,16.463,11.447,80.908,0.944,128,1.438,0.695,1.014
47,249,195.265,139,235,632.580,228.958,56.189,18.747,16.911,61.733,0.991,196,1.109,0.902,0.998
48,134,108.194,56,159,610.097,218.985,40.927,13.861,12.309,59.584,1.000,109,1.126,0.888,0.996
49,303,188.785,119,225,466.530,214.358,61.728,20.579,18.747,148.218,0.999,199,1.098,0.911,1.003
50,146,161.370,98,198,513.384,184.007,43.138,14.424,12.888,62.565,0.986,173,1.119,0.893,0.986
51,127,174.087,87,239,488.500,240.500,40.891,15.082,10.722,155.342,0.954,180,1.407,0.711,1.000
52,172,117.942,62,180,441.459,253.192,47.211,17.269,12.681,77.108,0.970,115,1.362,0.734,1.006
53,321,143.187,62,210,539.005,83.531,63.515,20.244,20.189,110.901,1.000,147,1.003,0.997,0.994
54,145,192.379,117,220,504.528,94.045,43.064,15.285,12.079,122.030,0.983,204,1.265,0.790,1.007
55,170,133.329,62,188,676.159,387.724,46.955,16.708,12.955,122.378,0.969,139,1.290,0.775,0.994
56,179,121.458,51,221,585.142,322.578,47.508,17.003,13.404,107.377,0.997,116,1.268,0.788,1.006
57,187,63.481,28,90,120.660,322.773,48.885,17.375,13.703,131.704,0.983,65,1.268,0.789,1.003
