 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,513,111.924,36,181,246.835,72.254,82.078,30.180,21.642,30.629,0.957,122,1.394,0.717,0.992
2,590,165.790,33,213,115.659,200.136,86.017,28.597,26.268,50.915,1.000,186,1.089,0.919,1.007
3,346,179.468,99,229,276.653,135.462,65.964,21.917,20.100,46.795,0.999,192,1.090,0.917,0.993
4,605,174.317,60,211,286.877,161.150,88.136,30.937,24.899,38.644,0.979,183,1.243,0.805,0.995
5,666,184.248,82,220,272.833,250.134,92.155,32.382,26.187,73.964,0.985,193,1.237,0.809,1.008
6,199,111.206,35,167,207.796,249.611,50.436,17.488,14.488,149.083,0.983,121,1.207,0.828,1.005
7,292,112.836,49,160,166.130,332.267,60.759,20.596,18.051,104.188,0.994,111,1.141,0.876,1.000
8,218,136.583,80,208,216.674,339.817,52.603,17.827,15.570,97.126,0.990,137,1.145,0.873,0.993
9,496,60.673,18,103,143.000,439.000,80.351,28.739,21.975,81.732,0.965,63,1.308,0.765,0.992
10,462,76.974,26,143,269.463,377.303,78.762,29.911,19.666,124.126,0.936,81,1.521,0.657,1.004
11,331,107.242,46,145,298.872,429.421,66.749,25.477,16.542,93.299,0.934,110,1.540,0.649,1.011
12,263,188.034,121,215,253.165,431.272,58.213,20.953,15.982,80.302,0.975,195,1.311,0.763,1.000
13,399,67.947,23,95,308.680,511.833,71.759,26.023,19.522,159.281,0.974,71,1.333,0.750,1.006
14,841,61.624,17,91,286.162,621.142,104.925,38.545,27.781,115.101,0.960,68,1.387,0.721,0.996
15,213,135.390,69,178,312.617,630.852,53.991,20.759,13.064,61.650,0.918,141,1.589,0.629,0.995
16,95,119.874,66,182,365.637,636.711,35.984,13.995,8.643,84.000,0.922,121,1.619,0.618,1.005
17,183,125.486,52,177,407.811,583.648,48.302,17.150,13.586,70.901,0.986,134,1.262,0.792,1.008
18,615,71.660,17,128,428.500,603.500,88.102,29.444,26.594,0.000,0.996,69,1.107,0.903,1.003
19,148,187.000,121,220,417.885,663.885,43.036,13.770,13.684,134.892,1.000,195,1.006,0.994,1.000
20,51,70.118,25,96,407.814,641.284,25.320,8.279,7.844,28.552,1.000,77,1.055,0.947,1.010
21,516,182.802,89,214,506.000,598.000,81.084,28.138,23.349,13.051,0.986,191,1.205,0.830,0.989
22,430,75.770,17,139,426.814,541.186,74.120,26.062,21.008,45.000,0.984,76,1.241,0.806,0.993
23,395,75.643,18,148,598.037,611.897,71.292,24.734,20.333,9.358,0.977,74,1.216,0.822,1.004
24,770,76.460,11,130,530.662,479.852,100.232,36.636,26.760,73.213,0.963,80,1.369,0.730,0.997
25,297,77.879,19,175,588.547,505.133,62.374,22.535,16.781,72.891,0.959,75,1.343,0.745,0.995
26,225,130.853,69,165,465.500,444.500,54.498,19.441,14.736,80.703,0.952,136,1.319,0.758,0.987
27,475,65.145,23,137,515.873,399.483,77.284,24.877,24.311,95.214,0.999,60,1.023,0.977,1.002
28,341,169.499,86,214,584.468,432.136,66.626,24.046,18.056,61.820,0.965,180,1.332,0.751,1.006
29,351,168.376,80,216,543.959,355.825,66.864,22.955,19.469,149.894,0.987,176,1.179,0.848,0.996
30,193,85.591,31,137,578.707,335.982,51.093,19.976,12.302,76.203,0.929,90,1.624,0.616,0.997
31,542,77.188,29,137,679.745,563.446,84.255,31.101,22.189,149.198,0.959,76,1.402,0.713,0.992
32,375,178.960,78,218,620.425,431.177,68.998,23.666,20.176,42.048,0.990,187,1.173,0.853,0.993
33,599,79.232,13,129,695.151,386.016,90.756,35.094,21.732,79.314,0.914,80,1.615,0.619,0.996
34,444,66.885,24,119,702.680,354.793,74.783,25.097,22.525,86.825,0.998,64,1.114,0.898,0.996
35,257,90.658,36,144,732.196,260.776,58.486,21.589,15.157,48.308,0.944,89,1.424,0.702,0.988
36,639,64.261,13,116,530.455,235.772,91.513,34.118,23.847,142.725,0.959,67,1.431,0.699,0.997
37,90,150.111,97,224,583.700,203.556,33.549,11.575,9.900,146.741,1.000,142,1.169,0.855,0.989
38,150,131.487,50,185,559.500,179.000,44.714,16.987,11.243,147.438,0.943,135,1.511,0.662,1.000
39,355,139.149,49,210,635.106,149.337,67.283,23.159,19.517,150.048,0.985,139,1.187,0.843,0.999
40,132,137.727,68,195,677.280,161.280,40.898,14.134,11.891,134.997,0.992,141,1.189,0.841,1.000
41,418,155.335,69,204,494.215,175.002,73.116,25.934,20.522,154.237,0.983,161,1.264,0.791,0.993
42,405,73.486,31,125,401.695,77.186,73.908,28.275,18.238,147.267,0.932,72,1.550,0.645,0.991
43,391,130.235,76,183,372.876,198.820,69.964,22.850,21.788,128.801,1.000,137,1.049,0.954,1.006
44,193,165.876,102,206,396.034,296.334,50.915,19.315,12.723,23.658,0.936,174,1.518,0.659,1.005
45,170,162.382,83,203,420.200,208.641,47.008,17.187,12.594,162.552,0.967,166,1.365,0.733,1.000
46,581,85.983,26,180,454.608,187.374,85.775,29.751,24.865,163.801,0.992,88,1.196,0.836,1.010
47,264,195.360,138,234,408.708,166.807,57.548,18.860,17.823,161.212,1.000,201,1.058,0.945,0.991
48,286,111.594,68,158,459.217,112.710,63.125,24.780,14.695,178.082,0.902,111,1.686,0.593,0.997
49,230,107.761,52,151,459.600,99.613,56.997,22.634,12.939,8.086,0.890,108,1.749,0.572,0.998
50,107,108.374,71,168,505.453,62.780,37.920,13.626,9.998,126.195,0.935,104,1.363,0.734,0.991
51,81,129.827,42,182,568.907,487.870,32.675,11.914,8.657,46.449,0.953,137,1.376,0.727,1.006
