 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,569,53.680,33,79,457.470,69.572,84.799,28.968,25.010,101.948,0.994,54,1.158,0.863,1.001
2,585,53.959,21,84,598.891,130.033,86.673,30.629,24.319,30.265,0.979,57,1.259,0.794,1.004
3,212,155.939,75,202,626.373,176.033,52.048,18.546,14.555,39.675,0.983,158,1.274,0.785,0.995
4,417,65.940,19,105,350.618,172.668,73.103,26.109,20.335,152.664,0.981,69,1.284,0.779,1.005
5,180,80.672,58,110,272.222,134.672,48.078,16.884,13.574,154.963,0.979,80,1.244,0.804,1.000
6,257,87.553,56,122,234.648,160.854,56.959,19.299,16.956,136.205,0.995,86,1.138,0.879,0.988
7,134,82.612,62,105,156.291,222.978,42.774,16.301,10.466,6.693,0.920,85,1.558,0.642,1.008
8,167,134.563,81,177,226.404,206.674,46.127,16.499,12.888,131.041,0.986,137,1.280,0.781,0.994
9,191,190.916,99,225,290.872,267.866,51.617,20.355,11.947,167.324,0.901,202,1.704,0.587,0.995
10,573,60.731,18,95,95.962,352.652,85.704,30.901,23.609,96.185,0.980,66,1.309,0.764,1.008
11,339,155.791,72,201,156.119,365.845,66.073,23.736,18.184,122.800,0.976,159,1.305,0.766,1.000
12,517,205.484,109,239,266.500,422.500,81.466,29.430,22.367,80.685,0.979,213,1.316,0.760,1.000
13,191,131.440,56,172,259.453,500.819,49.510,17.589,13.826,173.031,0.979,137,1.272,0.786,1.011
14,403,161.739,83,200,211.696,548.579,74.305,28.283,18.142,135.824,0.917,167,1.559,0.641,0.990
15,89,140.697,77,178,206.500,574.500,33.713,12.437,9.111,131.437,0.984,148,1.365,0.733,1.000
16,1121,63.576,10,110,317.988,546.782,119.262,39.906,35.767,116.981,0.990,71,1.116,0.896,1.003
17,633,56.959,27,84,284.500,676.500,91.272,33.863,23.801,159.592,0.955,58,1.423,0.703,0.997
18,80,121.825,74,147,332.087,616.550,32.743,12.160,8.377,25.657,0.938,125,1.452,0.689,0.982
19,541,72.647,29,146,340.759,629.330,82.956,28.598,24.086,150.549,0.988,66,1.187,0.842,0.992
20,263,86.331,56,105,362.565,713.724,57.836,20.170,16.602,136.324,0.988,89,1.215,0.823,0.991
21,410,70.439,18,113,484.768,672.590,72.454,26.113,19.991,169.326,0.981,76,1.306,0.766,1.007
22,461,116.243,78,152,564.830,679.880,77.226,27.558,21.299,119.710,0.971,114,1.294,0.773,1.003
23,412,56.631,27,87,588.000,645.500,72.288,24.074,21.790,49.094,0.991,58,1.105,0.905,0.990
24,94,163.755,113,197,497.734,586.000,36.644,14.874,8.047,23.164,0.880,170,1.848,0.541,1.005
25,225,171.964,60,215,508.882,557.842,53.468,17.384,16.479,80.509,0.989,186,1.055,0.948,0.991
26,383,64.525,16,110,477.954,533.367,70.254,25.806,18.897,31.510,0.975,66,1.366,0.732,1.003
27,347,75.458,17,139,421.978,531.895,67.525,24.586,17.970,35.173,0.956,73,1.368,0.731,1.003
28,343,119.315,73,157,403.086,516.334,66.846,24.538,17.798,13.747,0.965,125,1.379,0.725,1.003
29,241,206.411,163,228,390.338,582.873,55.099,18.652,16.451,51.875,0.998,213,1.134,0.882,1.013
30,449,117.806,78,147,373.291,558.195,75.760,26.563,21.521,55.857,0.983,121,1.234,0.810,1.001
31,144,70.556,40,95,373.118,533.771,43.039,16.244,11.287,163.500,0.977,73,1.439,0.695,1.007
32,151,132.377,84,188,454.732,417.480,44.511,16.058,11.973,81.766,0.958,127,1.341,0.746,0.990
33,186,127.226,55,184,461.059,399.027,51.702,20.817,11.376,104.553,0.874,130,1.830,0.546,1.000
34,327,70.330,46,94,353.497,385.867,64.256,22.362,18.618,75.554,0.995,70,1.201,0.833,1.008
35,586,57.947,15,106,376.000,368.500,86.038,28.848,25.864,145.796,0.995,60,1.115,0.897,1.005
36,180,109.672,83,151,311.661,307.578,47.577,15.965,14.355,49.620,0.999,105,1.112,0.899,0.997
37,108,71.231,44,109,269.361,234.491,38.390,14.340,9.589,31.393,0.921,70,1.495,0.669,0.995
38,373,154.097,34,207,397.245,210.339,68.838,23.315,20.369,154.009,0.989,171,1.145,0.874,1.000
39,447,171.470,89,213,420.974,226.927,75.241,25.650,22.188,136.620,0.992,184,1.156,0.865,0.993
40,313,124.796,39,191,447.500,264.500,66.342,26.325,15.139,172.190,0.894,131,1.739,0.575,1.002
41,366,179.191,85,225,487.500,273.000,67.435,22.314,20.884,63.475,1.000,201,1.068,0.936,1.008
42,630,59.784,16,103,545.873,332.702,89.587,32.042,25.034,112.237,0.986,66,1.280,0.781,1.001
43,354,56.992,16,96,572.935,305.421,67.173,24.105,18.698,142.111,0.986,65,1.289,0.776,1.004
44,261,113.713,67,150,585.887,294.695,59.159,21.886,15.184,150.473,0.937,112,1.441,0.694,0.991
45,103,146.068,101,177,623.500,355.500,36.689,14.081,9.314,125.482,0.962,151,1.512,0.661,1.000
46,279,64.262,18,107,623.823,396.977,59.296,19.470,18.245,72.604,0.997,64,1.067,0.937,1.000
47,714,67.478,21,129,647.598,363.196,95.101,31.075,29.255,91.897,0.992,68,1.062,0.941,0.999
48,798,55.294,7,88,622.396,470.276,102.550,38.094,26.672,54.280,0.954,64,1.428,0.700,1.001
49,370,131.716,56,190,529.919,444.295,69.606,25.857,18.219,143.771,0.960,138,1.419,0.705,1.003
50,430,191.228,104,240,565.077,518.140,75.160,27.897,19.626,42.117,0.957,193,1.421,0.704,1.007
51,182,146.676,91,239,580.302,517.566,48.246,16.994,13.636,105.518,0.983,134,1.246,0.802,0.995
52,412,184.218,97,222,550.883,531.126,72.606,25.446,20.615,131.817,0.982,196,1.234,0.810,1.007
53,425,80.948,12,139,656.387,517.288,74.193,26.550,20.381,68.399,0.970,86,1.303,0.768,1.001
54,504,68.694,18,127,674.655,524.815,80.606,28.833,22.257,30.597,0.975,71,1.295,0.772,1.008
55,217,71.000,19,108,757.855,386.270,53.001,18.858,14.651,165.491,0.971,72,1.287,0.777,0.991
