 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,385,94.725,66,117,209.181,125.503,71.693,26.492,18.503,129.471,0.941,96,1.432,0.698,1.004
2,266,70.553,33,132,188.000,167.000,57.428,19.013,17.813,134.981,1.000,64,1.067,0.937,1.008
3,279,115.487,67,161,140.177,258.023,59.351,19.470,18.245,72.604,0.995,119,1.067,0.937,1.000
4,299,56.716,10,82,230.015,247.273,62.168,21.343,17.837,29.326,0.972,63,1.197,0.836,0.990
5,793,60.250,17,93,72.769,366.547,100.489,35.161,28.716,94.449,0.987,63,1.224,0.817,0.999
6,666,70.826,20,108,105.820,340.863,92.555,32.247,26.297,125.304,0.977,76,1.226,0.815,0.996
7,827,66.742,12,113,156.529,500.714,104.171,38.106,27.632,126.074,0.958,74,1.379,0.725,1.000
8,624,61.811,14,94,280.000,315.000,89.991,32.762,24.251,0.000,0.968,69,1.351,0.740,1.002
9,194,71.907,55,87,95.845,549.536,50.670,18.266,13.523,65.249,0.950,72,1.351,0.740,1.000
10,340,57.768,23,84,209.803,541.765,66.936,24.285,17.826,93.753,0.954,64,1.362,0.734,0.984
11,851,64.007,23,92,190.531,599.313,105.307,38.721,27.983,139.067,0.964,69,1.384,0.723,1.002
12,501,159.932,18,208,237.025,560.516,80.942,29.793,21.410,146.851,0.961,179,1.392,0.719,0.990
13,368,57.000,32,82,240.000,617.000,69.685,25.365,18.472,151.120,0.952,57,1.373,0.728,0.989
14,197,112.853,60,155,267.013,545.454,50.944,18.552,13.520,74.676,0.954,112,1.372,0.729,0.980
15,397,118.814,68,153,285.500,511.500,74.601,29.750,16.991,79.012,0.896,117,1.751,0.571,1.010
16,211,45.678,27,74,270.571,512.301,54.219,21.252,12.641,92.891,0.902,45,1.681,0.595,0.995
17,166,39.783,16,73,339.849,573.602,46.077,15.973,13.232,54.268,0.983,37,1.207,0.828,0.997
18,218,102.440,34,155,397.000,502.000,53.022,18.263,15.199,150.723,0.974,104,1.202,0.832,0.965
19,291,180.890,114,223,385.734,581.514,60.672,20.975,17.665,140.161,0.993,188,1.187,0.842,1.007
20,245,83.286,50,117,407.500,661.500,55.558,19.370,16.104,175.480,0.997,81,1.203,0.831,1.004
21,115,125.539,71,161,442.013,662.178,38.127,13.278,11.027,45.316,0.994,133,1.204,0.831,1.009
22,217,161.700,82,204,493.210,450.417,52.329,18.026,15.328,60.681,0.996,168,1.176,0.850,1.002
23,470,68.745,21,113,320.834,331.536,76.802,24.723,24.205,78.179,1.000,71,1.021,0.979,0.997
24,193,55.135,36,74,265.018,254.464,49.026,16.070,15.292,4.748,1.000,54,1.051,0.952,1.005
25,275,58.040,9,102,353.500,244.500,59.533,20.916,16.740,66.873,0.975,66,1.249,0.800,1.000
26,94,147.298,73,218,333.340,241.543,34.245,12.237,9.781,147.975,1.000,150,1.251,0.799,1.027
27,115,107.591,62,163,176.265,276.874,38.254,13.423,10.909,130.573,0.988,106,1.230,0.813,0.996
28,233,165.270,58,211,245.796,312.487,54.635,19.191,15.458,145.784,0.981,182,1.241,0.805,0.994
29,230,129.191,57,169,302.239,318.313,58.005,23.482,12.471,83.199,0.859,134,1.883,0.531,0.994
30,123,113.602,81,139,315.199,183.467,39.502,14.064,11.135,54.813,0.991,115,1.263,0.792,1.008
31,120,59.542,36,86,333.000,174.000,38.650,14.037,10.885,15.350,1.000,58,1.290,0.775,1.017
32,215,101.916,68,133,418.537,264.021,52.164,18.429,14.854,147.169,0.993,104,1.241,0.806,1.014
33,314,75.525,21,142,464.955,285.834,63.492,22.165,18.037,137.776,0.979,74,1.229,0.814,0.997
34,596,56.554,23,91,490.715,135.480,87.457,30.607,24.794,137.777,0.979,60,1.234,0.810,1.001
35,124,150.379,78,224,492.153,194.573,39.420,12.930,12.211,74.239,1.000,156,1.059,0.944,0.996
36,184,65.842,31,117,406.935,186.707,48.668,17.554,13.346,97.604,0.976,62,1.315,0.760,1.003
37,249,74.980,44,108,669.773,258.255,56.794,20.313,15.608,107.744,0.970,76,1.301,0.768,1.000
38,352,172.940,68,211,604.190,257.793,67.822,24.496,18.296,122.174,0.962,190,1.339,0.747,0.996
39,122,120.934,67,151,532.770,196.475,40.160,14.242,10.907,60.338,0.951,128,1.306,0.766,1.008
40,480,67.400,25,125,519.000,289.000,79.122,28.493,21.449,11.954,0.964,62,1.328,0.753,0.992
41,322,181.149,81,220,482.000,326.000,64.504,23.416,17.509,101.933,0.972,198,1.337,0.748,1.006
42,212,186.231,104,225,500.778,311.991,52.951,19.134,14.107,13.214,0.950,198,1.356,0.737,0.986
43,462,179.455,85,216,507.589,358.307,77.230,27.990,21.016,133.370,0.973,186,1.332,0.751,1.007
44,490,105.331,8,216,493.000,354.000,79.555,28.898,21.590,71.199,0.973,100,1.339,0.747,1.002
45,98,116.755,65,162,472.000,373.500,36.691,14.355,8.692,82.207,0.915,117,1.651,0.606,1.000
46,394,69.713,22,124,567.596,373.312,71.895,26.996,18.583,166.425,0.958,69,1.453,0.688,1.003
47,274,57.288,22,95,618.219,348.011,60.240,22.380,15.588,77.997,0.949,64,1.436,0.697,0.995
48,128,124.477,51,166,603.500,353.000,41.036,15.569,10.468,9.759,0.955,133,1.487,0.672,1.024
49,409,60.954,13,102,636.278,273.062,72.894,25.966,20.055,119.592,0.967,67,1.295,0.772,0.993
50,129,107.605,76,157,559.547,248.035,41.769,14.544,11.293,146.470,0.929,101,1.288,0.777,0.992
51,1124,86.981,10,147,681.206,313.984,122.287,46.268,30.931,31.480,0.945,91,1.496,0.669,1.001
52,377,179.973,118,198,713.309,304.529,69.020,22.158,21.663,91.464,0.994,189,1.023,0.978,0.992
53,159,58.931,21,109,601.833,424.513,45.279,15.827,12.791,37.422,0.975,58,1.237,0.808,0.997
54,378,69.270,22,110,732.709,430.714,69.198,23.935,20.108,153.677,0.992,73,1.190,0.840,0.996
55,340,70.374,15,134,634.318,466.682,65.472,22.721,19.053,45.000,0.997,68,1.193,0.839,1.009
56,409,79.912,23,130,681.520,455.023,71.837,24.696,21.086,130.409,0.996,84,1.171,0.854,1.005
57,193,116.238,72,148,693.028,447.966,49.250,16.982,14.471,47.993,1.000,119,1.174,0.852,1.005
58,1036,64.168,2,137,578.000,500.000,115.139,39.628,33.286,65.112,0.982,64,1.191,0.840,1.003
59,434,74.583,9,138,574.813,525.668,74.439,25.624,21.565,67.475,0.984,75,1.188,0.842,0.990
60,177,105.904,64,155,585.285,559.726,47.212,16.394,13.747,134.383,0.998,98,1.193,0.839,1.011
61,140,123.607,86,175,609.821,572.743,42.159,14.696,12.130,96.095,0.990,117,1.212,0.825,1.011
62,62,111.677,79,150,630.403,546.081,28.520,9.849,8.015,151.044,0.958,110,1.229,0.814,1.000
63,529,177.045,64,209,577.218,593.785,82.030,28.199,23.885,138.507,0.988,188,1.181,0.847,0.996
64,316,65.367,23,93,651.497,619.237,63.378,21.966,18.317,62.193,0.989,72,1.199,0.834,1.000
65,316,63.127,29,82,595.449,673.320,63.576,21.758,18.492,162.222,0.982,68,1.177,0.850,1.010
