 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,366,182.743,92,218,438.000,256.500,67.553,22.216,20.976,0.000,1.000,193,1.059,0.944,1.017
2,69,133.420,91,181,446.500,171.500,28.274,9.373,9.373,0.000,1.000,135,1.000,1.000,1.062
3,375,64.915,17,115,488.500,176.500,69.437,24.898,19.177,0.000,0.977,63,1.298,0.770,1.033
4,126,92.389,38,160,499.500,156.000,39.411,14.369,11.165,90.000,1.000,95,1.287,0.777,1.016
5,104,124.827,86,169,515.500,150.000,36.145,12.252,10.808,90.000,1.000,126,1.134,0.882,0.981
6,341,184.601,73,218,437.500,256.500,66.123,22.797,19.045,0.000,0.980,194,1.197,0.835,1.006
7,434,182.698,77,240,398.000,321.500,73.903,25.069,22.043,90.000,0.999,195,1.137,0.879,1.019
8,713,77.337,21,148,471.325,369.147,96.776,35.728,25.409,124.179,0.957,79,1.406,0.711,1.000
9,404,85.993,34,143,543.002,323.681,71.913,25.508,20.166,124.424,0.982,93,1.265,0.791,1.001
10,251,125.602,43,212,537.424,299.930,56.558,19.596,16.308,176.937,0.986,125,1.202,0.832,1.004
11,379,166.918,69,213,581.603,268.244,70.417,25.477,18.941,170.187,0.960,179,1.345,0.743,0.999
12,330,176.633,81,221,491.464,407.112,65.676,24.066,17.459,95.293,0.961,196,1.378,0.725,0.998
13,223,183.390,101,222,547.285,412.643,53.597,18.769,15.128,87.972,0.976,200,1.241,0.806,0.998
14,518,68.203,13,134,519.237,492.237,80.576,25.723,25.640,45.716,1.000,64,1.003,0.997,0.997
15,260,190.358,118,223,394.677,509.000,56.971,18.346,18.044,90.000,1.000,197,1.017,0.984,1.014
16,369,69.073,14,150,406.413,542.167,68.096,21.910,21.444,78.586,1.000,62,1.022,0.979,0.999
17,225,123.844,34,173,422.829,567.562,53.586,18.634,15.374,43.893,0.985,128,1.212,0.825,1.002
18,431,183.466,77,212,394.588,587.588,73.695,23.523,23.329,45.236,0.997,188,1.008,0.992,1.006
19,270,176.400,90,220,382.626,619.000,58.149,18.796,18.289,6.908E-13,1.000,182,1.028,0.973,1.004
20,672,128.601,83,165,411.757,683.838,91.929,29.356,29.146,79.648,0.999,134,1.007,0.993,1.006
21,188,130.351,43,167,515.867,608.282,49.391,17.432,13.731,34.059,0.968,135,1.270,0.788,1.003
22,328,91.360,16,155,545.000,533.000,65.205,23.465,17.797,38.924,0.969,95,1.318,0.758,1.000
23,586,67.737,16,141,560.015,559.843,87.284,31.016,24.056,13.421,0.967,71,1.289,0.776,0.996
24,166,120.289,99,142,492.916,545.307,46.223,16.651,12.693,33.496,0.976,122,1.312,0.762,0.997
25,303,165.030,102,198,590.708,618.078,62.684,22.395,17.227,27.149,0.969,170,1.300,0.769,0.998
26,329,84.422,17,159,591.126,467.913,65.391,23.198,18.057,69.254,0.967,88,1.285,0.778,1.006
27,105,191.914,114,253,601.290,490.938,36.819,12.948,10.325,60.702,0.973,202,1.254,0.797,1.005
28,72,178.181,126,197,606.125,479.972,30.114,11.074,8.278,49.081,0.998,182,1.338,0.748,1.000
29,97,135.835,79,180,610.356,499.345,35.570,12.957,9.532,94.984,0.963,142,1.359,0.736,0.995
30,202,142.827,60,201,609.153,402.827,50.908,18.506,13.898,50.487,0.979,153,1.332,0.751,1.002
31,198,110.869,62,150,583.253,344.071,50.908,18.134,13.902,87.992,0.960,113,1.304,0.767,0.988
32,178,122.657,72,192,593.893,340.691,47.927,17.002,13.330,99.194,0.974,122,1.275,0.784,0.992
33,307,181.371,109,207,603.357,209.663,63.183,22.133,17.661,168.615,0.966,188,1.253,0.798,0.992
34,162,142.475,64,203,617.000,237.796,45.322,14.453,14.271,90.000,0.991,147,1.013,0.987,1.003
35,571,62.018,18,93,677.158,190.512,85.476,30.678,23.698,82.917,0.982,70,1.295,0.772,1.009
36,201,131.955,59,172,634.391,344.316,50.335,16.853,15.186,80.195,0.997,135,1.110,0.901,0.988
37,413,70.901,23,128,704.362,309.672,73.145,26.164,20.098,159.104,0.970,73,1.302,0.768,0.998
38,268,183.955,103,235,661.951,349.119,59.887,22.614,15.089,36.494,0.939,191,1.499,0.667,0.996
39,486,59.469,9,107,644.263,480.325,78.606,26.748,23.134,57.990,0.988,63,1.156,0.865,0.997
40,417,148.276,65,207,220.596,232.500,72.323,23.164,22.921,90.000,1.000,153,1.011,0.990,1.010
41,478,62.048,10,116,286.301,208.161,77.758,24.866,24.475,37.120,0.993,62,1.016,0.984,0.989
42,401,73.935,20,123,173.617,236.894,71.195,22.783,22.410,170.972,0.994,74,1.017,0.984,0.994
43,408,67.368,22,119,262.814,293.186,71.509,22.808,22.777,135.000,1.000,66,1.001,0.999,1.011
44,277,121.935,83,153,188.634,311.023,60.229,22.411,15.737,129.574,0.960,121,1.424,0.702,0.996
45,633,101.583,23,207,165.746,323.058,89.362,28.577,28.203,108.328,0.996,96,1.013,0.987,1.003
46,593,63.809,20,159,222.213,341.691,86.613,27.693,27.264,121.255,0.993,59,1.016,0.985,0.994
47,370,68.738,14,160,324.832,361.789,68.833,24.630,19.127,68.846,0.981,69,1.288,0.777,0.999
48,332,135.581,48,203,312.575,385.166,65.801,23.469,18.012,119.504,0.964,137,1.303,0.767,0.997
49,582,185.076,98,211,182.675,446.802,86.715,31.066,23.853,85.300,0.973,194,1.302,0.768,1.002
50,160,125.169,77,183,338.000,495.712,46.219,16.914,12.044,51.288,0.941,130,1.404,0.712,0.997
51,337,66.546,37,143,224.019,553.613,65.305,21.964,19.536,112.223,0.993,59,1.124,0.889,1.003
52,290,75.359,13,145,210.148,434.372,61.554,22.660,16.295,92.659,0.962,76,1.391,0.719,1.002
53,162,126.086,58,188,226.000,435.500,46.191,17.243,11.962,110.599,0.954,129,1.441,0.694,0.994
54,180,112.372,39,225,244.378,423.500,48.909,17.908,12.798,107.699,0.946,111,1.399,0.715,1.000
55,439,57.431,7,184,257.767,417.874,76.162,27.784,20.118,119.865,0.951,50,1.381,0.724,0.989
56,592,67.338,24,102,118.500,385.000,88.184,32.400,23.264,166.168,0.957,72,1.393,0.718,0.993
57,340,67.194,48,86,220.897,663.885,65.444,22.280,19.430,117.278,0.998,67,1.147,0.872,0.999
58,148,64.608,52,81,353.000,577.500,45.110,16.842,11.188,166.048,0.914,64,1.505,0.664,1.021
59,76,169.671,118,204,217.908,470.461,31.355,11.692,8.276,70.402,0.971,174,1.413,0.708,1.007
60,46,130.978,79,177,313.000,605.500,24.342,8.798,6.657,154.029,0.976,130,1.321,0.757,1.000
