 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,Median,AR,Round,Solidity
1,359,107.599,34,169,172.143,206.361,68.527,25.242,18.108,59.933,0.961,110,1.394,0.717,0.997
2,295,170.064,71,209,323.225,192.792,62.229,22.944,16.371,157.215,0.957,181,1.401,0.714,1.002
3,310,69.800,17,153,311.981,206.123,63.919,23.188,17.022,158.156,0.953,65,1.362,0.734,0.995
4,370,70.014,29,142,277.581,245.862,68.196,21.998,21.416,78.655,1.000,65,1.027,0.974,1.004
5,278,88.968,55,115,189.500,224.000,60.172,21.705,16.308,62.637,0.965,91,1.331,0.751,1.011
6,443,64.260,15,107,260.046,317.137,75.040,26.288,21.456,14.782,0.989,69,1.225,0.816,0.997
7,316,177.310,107,215,121.345,394.421,62.866,20.746,19.394,83.503,1.000,184,1.070,0.935,1.002
8,308,131.120,71,174,138.029,427.792,63.056,23.055,17.010,130.854,0.973,132,1.355,0.738,1.003
9,344,53.235,34,94,95.741,481.628,66.899,23.714,18.470,156.718,0.966,52,1.284,0.779,0.983
10,509,69.088,20,125,176.380,462.590,81.659,30.197,21.461,115.133,0.959,70,1.407,0.711,0.997
11,213,65.465,30,140,199.899,475.702,52.653,19.463,13.934,124.976,0.965,60,1.397,0.716,0.995
12,307,63.824,32,93,132.458,492.748,63.468,23.361,16.732,106.814,0.958,65,1.396,0.716,1.005
13,412,84.400,22,151,152.886,492.881,73.757,27.008,19.423,110.044,0.952,81,1.391,0.719,0.989
14,961,57.668,24,84,197.810,641.848,112.064,41.349,29.592,145.783,0.962,61,1.397,0.716,1.001
15,271,175.114,120,205,260.404,629.017,58.151,18.872,18.284,174.338,1.000,183,1.032,0.969,1.002
16,519,66.010,23,121,258.192,552.134,82.496,30.718,21.512,151.349,0.958,66,1.428,0.700,0.999
17,144,86.771,23,125,237.514,471.889,44.985,17.723,10.345,3.852,0.894,93,1.713,0.584,1.007
18,330,122.479,69,170,418.321,630.512,64.610,22.920,18.332,175.259,0.993,129,1.250,0.800,1.003
19,303,178.294,77,214,434.444,662.649,62.473,21.786,17.708,168.912,0.976,187,1.230,0.813,1.000
20,364,78.725,19,115,554.703,687.206,68.084,23.892,19.398,13.945,0.987,88,1.232,0.812,0.997
21,624,64.611,19,93,618.482,645.909,89.949,32.676,24.315,40.776,0.969,70,1.344,0.744,1.002
22,327,191.015,104,214,633.534,558.161,65.260,23.557,17.674,39.108,0.965,192,1.333,0.750,1.002
23,473,94.700,17,188,615.716,523.344,76.961,25.056,24.035,83.460,1.000,97,1.042,0.959,0.996
24,643,64.896,21,125,513.500,474.500,91.298,32.657,25.070,39.984,0.969,61,1.303,0.768,1.008
25,826,92.240,18,212,489.194,542.357,104.385,39.137,26.872,4.973,0.953,81,1.456,0.687,1.006
26,276,186.239,121,217,470.855,539.018,60.533,22.603,15.548,30.852,0.947,193,1.454,0.688,0.996
27,248,115.617,69,162,430.294,515.500,55.995,17.979,17.563,0.000,0.994,116,1.024,0.977,1.008
28,426,60.594,10,119,334.754,477.862,73.713,24.816,21.857,112.853,0.985,62,1.135,0.881,1.000
29,176,81.216,27,149,373.722,419.494,50.246,20.088,11.156,142.155,0.876,82,1.801,0.555,0.994
30,146,125.973,70,194,387.158,424.199,45.967,18.512,10.042,51.972,0.868,122,1.843,0.542,0.977
